AGENT_ID,total_ptps,fulfilled,fulfillment_rate,avg_dpd,repromise_rate,visit_rate,remarks_count,tier,last_3_activity,tier_insight
11942,309,261,0.8447,4.17,0.9191,0.0,309,Top Quartile,"{""last_3_remarks"": ""ptp 17 feb |16 feb he pay |he pay 1000 14 feb 6 pm "", ""last_3_Total_Outstanding"": ""174698|260133|165399"", ""last_3_ptp_date"": ""2026-02-14:2026-02-14:2026-02-14"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 84.5% (22.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 4d vs 64d cohort) | call-only agent — no field visits | high volume (309 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11486,334,282,0.8443,1.93,0.982,0.0,334,Top Quartile,"{""last_3_remarks"": ""cm will pay 28 feb 2026|cm said will maintain a sufficient balance on  28 feb 2026 |cm will pay 28 feb 2026"", ""last_3_Total_Outstanding"": ""245095|148348|34886"", ""last_3_ptp_date"": ""2026-02-28:2026-02-28:2026-02-28"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 84.4% (22.1pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 2d vs 64d cohort) | call-only agent — no field visits | high volume (334 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8545,32,27,0.8438,40.97,0.3438,0.0,32,Top Quartile,"{""last_3_remarks"": ""cm will make payment on 26 may |cm no is ringing |cm no is ringing "", ""last_3_Total_Outstanding"": ""296729|79096|109034"", ""last_3_ptp_date"": ""2025-06-16:2025-06-16:2025-06-11"", ""last_3_promised_date"": ""2025-07-01:2025-07-01:2025-07-01""}",Top Quartile: fulfillment 84.4% (22.1pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 41d vs 64d cohort) | low re-promise rate 34% — tends to escalate rather than re-accept | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
11120,32,27,0.8438,12.31,0.9688,0.0,32,Top Quartile,"{""last_3_remarks"": ""CM WILL MENTAIN HIS ACC BEFORE 5TH NOV|CM WILL MENTAIN HIS ACC BEFORE 5TH NOV|CM WILL MENTAIN HIS ACC BEFORE 5TH NOV"", ""last_3_Total_Outstanding"": ""44967|44624|124604"", ""last_3_ptp_date"": ""2025-11-02:2025-11-02:2025-11-02"", ""last_3_promised_date"": ""2025-11-05:2025-11-05:2025-11-05""}",Top Quartile: fulfillment 84.4% (22.1pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 12d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
9054,115,97,0.8435,37.81,0.9478,0.0,115,Top Quartile,"{""last_3_remarks"": ""CM DATE NOT COMFRIM |RING|cm said i will maintain balance on due date 5 July"", ""last_3_Total_Outstanding"": ""152344|323034|36338"", ""last_3_ptp_date"": ""2025-09-21:2025-09-18:2025-07-04"", ""last_3_promised_date"": ""2025-10-05:2025-10-05:2025-07-05""}",Top Quartile: fulfillment 84.4% (22.0pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 38d vs 64d cohort) | call-only agent — no field visits | high volume (115 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10130,89,75,0.8427,63.87,0.9775,0.0,89,Top Quartile,"{""last_3_remarks"": ""bank issue will pay on 13 august |bank issue will pay on 7 august |salaey issue will pay on 11 august "", ""last_3_Total_Outstanding"": ""45959|140453|183374"", ""last_3_ptp_date"": ""2025-08-07:2025-08-07:2025-08-07"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 84.3% (22.0pt above cohort avg 62.3%) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
9059,1041,877,0.8425,13.12,0.9904,0.0,1041,Top Quartile,"{""last_3_remarks"": ""he will pay on 20th april|he will pay on 20th april|he will pay on 18th april"", ""last_3_Total_Outstanding"": ""376529|51065|171022"", ""last_3_ptp_date"": ""2026-04-19:2026-04-19:2026-04-17"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 84.2% (21.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 13d vs 64d cohort) | call-only agent — no field visits | high volume (1041 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12341,342,288,0.8421,0.84,0.9942,0.0,342,Top Quartile,"{""last_3_remarks"": ""31-CM SD MAINTAIN FUNDS|31-CM SD MAINTAIN FUNDS|31-CM SD MAINTAIN FUNDS"", ""last_3_Total_Outstanding"": ""131942|72234|103804"", ""last_3_ptp_date"": ""2026-01-31:2026-01-31:2026-01-31"", ""last_3_promised_date"": ""2026-02-05:2026-02-05:2026-02-05""}",Top Quartile: fulfillment 84.2% (21.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | call-only agent — no field visits | high volume (342 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10129,272,229,0.8419,49.5,0.9522,0.0,272,Top Quartile,"{""last_3_remarks"": ""cs will maintain his account|cs will maintain his account|cs will maintain his account"", ""last_3_Total_Outstanding"": ""176897|42751|441407"", ""last_3_ptp_date"": ""2025-09-27:2025-09-27:2025-09-27"", ""last_3_promised_date"": ""2025-10-05:2025-10-05:2025-10-05""}",Top Quartile: fulfillment 84.2% (21.9pt above cohort avg 62.3%) | call-only agent — no field visits | high volume (272 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10483,492,414,0.8415,12.82,0.9939,0.0,492,Top Quartile,"{""last_3_remarks"": ""customer said he will maintain the balance on account 4 january|customer said he will maintain the balance on account|CUSTOMER SAID HE WILL MAINTAIN THE BALANCE ON ACCOUNT 4 JANUARY"", ""last_3_Total_Outstanding"": ""235451|88447|126780"", ""last_3_ptp_date"": ""2025-12-29:2025-12-27:2025-12-27"", ""last_3_promised_date"": ""2026-01-05:2026-01-05:2026-01-05""}",Top Quartile: fulfillment 84.2% (21.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 13d vs 64d cohort) | call-only agent — no field visits | high volume (492 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11920,913,768,0.8412,2.7,0.9562,0.0,907,Top Quartile,"{""last_3_remarks"": ""20th ptp |20th ptp monday |call back 5pm "", ""last_3_Total_Outstanding"": ""85645|58377|91875"", ""last_3_ptp_date"": ""2026-04-18:2026-04-18:2026-04-18"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 84.1% (21.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | high volume (913 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
13081,157,132,0.8408,0.92,0.9936,0.0,157,Top Quartile,"{""last_3_remarks"": "" PROMISE TO PAY \n| PROMISE TO PAY\n| PROMISE TO PAY\n"", ""last_3_Total_Outstanding"": ""208162|254305|122387"", ""last_3_ptp_date"": ""2026-04-08:2026-04-08:2026-04-07"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 84.1% (21.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | call-only agent — no field visits | high volume (157 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12483,251,211,0.8406,0.91,0.9402,0.0,251,Top Quartile,"{""last_3_remarks"": ""cust i will make the payment and disc the call  |cust said due to some bank issue she will make the payment |cust said get me get me  one hour i will make the payment  "", ""last_3_Total_Outstanding"": ""124273|261009|341618"", ""last_3_ptp_date"": ""2026-04-23:2026-04-09:2026-04-09"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 84.1% (21.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | call-only agent — no field visits | high volume (251 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11055,137,115,0.8394,10.79,0.9051,0.0,137,Top Quartile,"{""last_3_remarks"": ""cm said he will pay but not confirm|cm said she will pay on 13 nov 2025|CM SAID HE WILL PAY ON 12 NOV 2025"", ""last_3_Total_Outstanding"": ""100920|822|307779"", ""last_3_ptp_date"": ""2025-11-13:2025-11-13:2025-11-12"", ""last_3_promised_date"": ""2025-12-05:2025-12-05:2025-12-05""}",Top Quartile: fulfillment 83.9% (21.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 11d vs 64d cohort) | call-only agent — no field visits | high volume (137 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
4998,273,229,0.8388,17.93,0.9634,0.0,273,Top Quartile,"{""last_3_remarks"": ""Customer bol raha hai ki apka payment confirm hojayega aaj 23rd april mein|Customer said payment will be done at 30th april by offical ABFL Link|Customer confirm on call payment will be done at 23rd april by offical ABFL Link"", ""last_3_Total_Outstanding"": ""1000|20049|77313"", ""last_3_ptp_date"": ""2026-04-23:2026-04-23:2026-04-23"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 83.9% (21.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 18d vs 64d cohort) | call-only agent — no field visits | high volume (273 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9804,124,104,0.8387,14.51,0.9516,0.0,124,Top Quartile,"{""last_3_remarks"": ""CM SAID HE WILL MAINTAIN THE BALANCE ON 4 SEP\n|CM SAID HE WILL MAINTAIN THE BALANCE ON 4 SEP\n|CM SAID HE WILL MAINTAIN THE BALANCE ON 4 SEP\n"", ""last_3_Total_Outstanding"": ""30678|45787|250998"", ""last_3_ptp_date"": ""2025-09-01:2025-09-01:2025-09-01"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 83.9% (21.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 15d vs 64d cohort) | call-only agent — no field visits | high volume (124 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10251,858,719,0.838,16.25,0.9674,0.0,858,Top Quartile,"{""last_3_remarks"": ""21-CM SD PTP ON 30TH//|21-CM D PTP ON TODAY//|21-CM SD PTP ON 23RD//"", ""last_3_Total_Outstanding"": ""1333282|164847|143314"", ""last_3_ptp_date"": ""2026-04-21:2026-04-21:2026-04-21"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 83.8% (21.5pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 16d vs 64d cohort) | call-only agent — no field visits | high volume (858 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8826,80,67,0.8375,55.22,0.9375,0.0,80,Top Quartile,"{""last_3_remarks"": ""cm said i will pay on 25 for medical issue |cm said will pay on monday |cm said I will pay on 18. evening 5pm medical issue "", ""last_3_Total_Outstanding"": ""60830|75108|204754"", ""last_3_ptp_date"": ""2025-08-22:2025-08-14:2025-08-14"", ""last_3_promised_date"": ""2025-09-05:2025-09-05:2025-09-05""}",Top Quartile: fulfillment 83.8% (21.4pt above cohort avg 62.3%) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
12305,305,255,0.8361,0.78,0.5869,0.0,305,Top Quartile,"{""last_3_remarks"": ""he maintain the balence|CX disconnected the call|CX said he will do with 1 or 2 day he will do.."", ""last_3_Total_Outstanding"": ""37548|132275|116958"", ""last_3_ptp_date"": ""2026-03-30:2026-03-28:2026-03-28"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 83.6% (21.3pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | low re-promise rate 59% — tends to escalate rather than re-accept | call-only agent — no field visits | high volume (305 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12080,134,112,0.8358,10.47,0.8806,0.0,134,Top Quartile,"{""last_3_remarks"": ""27-CM SD I WILL MAINTAIN THE MINIMUM BALANCE ON 5TH// |27-CM SD I WILL MAINTAIN THE MINIMUM BALANCE ON 5TH//|27-CM SD PAY ON 5TH//"", ""last_3_Total_Outstanding"": ""123231|121366|37786"", ""last_3_ptp_date"": ""2026-02-27:2026-02-27:2026-02-27"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 83.6% (21.3pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 10d vs 64d cohort) | call-only agent — no field visits | high volume (134 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11823,170,142,0.8353,2.68,0.8529,0.0,170,Top Quartile,"{""last_3_remarks"": ""PAID |PAID |PTP"", ""last_3_Total_Outstanding"": ""170146|172438|23189"", ""last_3_ptp_date"": ""2026-01-31:2026-01-31:2026-01-31"", ""last_3_promised_date"": ""2026-02-05:2026-02-05:2026-02-05""}",Top Quartile: fulfillment 83.5% (21.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | high volume (170 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11923,188,157,0.8351,3.21,0.9415,0.0,188,Top Quartile,"{""last_3_remarks"": ""cm will be pay 28/2/2026|cm will be pay 28/2/2026|cm will be pay"", ""last_3_Total_Outstanding"": ""61921|84141|33427"", ""last_3_ptp_date"": ""2026-02-28:2026-02-28:2026-02-28"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 83.5% (21.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | high volume (188 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10637,545,455,0.8349,27.94,0.9835,0.0,545,Top Quartile,"{""last_3_remarks"": ""He will pay on 25 jan|He will pay before 28 jan |He will pay on 19 jan (salry delay)"", ""last_3_Total_Outstanding"": ""25338|176897|92020"", ""last_3_ptp_date"": ""2026-01-25:2026-01-21:2026-01-17"", ""last_3_promised_date"": ""2026-02-05:2026-02-05:2026-02-05""}",Top Quartile: fulfillment 83.5% (21.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 28d vs 64d cohort) | call-only agent — no field visits | high volume (545 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8551,363,303,0.8347,10.28,0.9862,0.0,363,Top Quartile,"{""last_3_remarks"": ""customer call forwarding to voice mail |customer said that maintain in a/c 4th April. |customer said that maintain in a/c 4th April. "", ""last_3_Total_Outstanding"": ""75220|180331|0"", ""last_3_ptp_date"": ""2026-04-04:2026-04-04:2026-04-04"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 83.5% (21.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 10d vs 64d cohort) | call-only agent — no field visits | high volume (363 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9806,235,196,0.834,2.83,0.9277,0.0,235,Top Quartile,"{""last_3_remarks"": ""CUSTOMER SAID HE WILL DO THE EMI ON TODAY 12 PM |customer said he will do the emi on 25 apr |customer said he will do the emi  on 23 apr "", ""last_3_Total_Outstanding"": ""107745|176766|155673"", ""last_3_ptp_date"": ""2026-04-22:2026-04-22:2026-04-21"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 83.4% (21.1pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 3d vs 64d cohort) | call-only agent — no field visits | high volume (235 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9055,42,35,0.8333,5.76,1.0,0.0,42,Top Quartile,"{""last_3_remarks"": ""cm will pay by 5 jan|cm will pay by 5dec|cm will pay by 5 dec "", ""last_3_Total_Outstanding"": ""90773|142067|32470"", ""last_3_ptp_date"": ""2026-01-01:2025-12-03:2025-12-03"", ""last_3_promised_date"": ""2026-01-05:2025-12-05:2025-12-05""}",Top Quartile: fulfillment 83.3% (21.0pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 6d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
10544,453,377,0.8322,10.93,0.9779,0.0,453,Top Quartile,"{""last_3_remarks"": ""CM WILL PAY ON 14 JANUARY|cm said will maintain a sufficient balances on 3rd january 2026 evening sources of payment salary.\n|cm said will maintain a sufficient balances on 1st january 2026 evening sources of payment salary.\n"", ""last_3_Total_Outstanding"": ""3057|55725|1767266"", ""last_3_ptp_date"": ""2026-01-14:2026-01-02:2025-12-27"", ""last_3_promised_date"": ""2026-02-05:2026-01-05:2026-01-02""}",Top Quartile: fulfillment 83.2% (20.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 11d vs 64d cohort) | call-only agent — no field visits | high volume (453 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8170,1934,1609,0.832,18.14,0.9902,0.0,1933,Top Quartile,"{""last_3_remarks"": ""21-CM NUM PAY THE TODAY|20-CM NUM PAY THE TODAY|20-CM NUM PAY THE TODAY EVG"", ""last_3_Total_Outstanding"": ""222001|122520|177154"", ""last_3_ptp_date"": ""2026-04-21:2026-04-20:2026-04-20"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 83.2% (20.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 18d vs 64d cohort) | call-only agent — no field visits | high volume (1934 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
3971,250,208,0.832,12.92,0.992,0.0,250,Top Quartile,"{""last_3_remarks"": ""cm said i will pay on 29 april |cm said wil pay emi manual pay account freez|cm said will maintain balance 4th April"", ""last_3_Total_Outstanding"": ""296729|113058|267852"", ""last_3_ptp_date"": ""2026-04-09:2026-04-03:2026-04-03"", ""last_3_promised_date"": ""2026-05-01:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 83.2% (20.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 13d vs 64d cohort) | call-only agent — no field visits | high volume (250 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9239,993,826,0.8318,24.77,0.9909,0.0,993,Top Quartile,"{""last_3_remarks"": ""customer said he will maintain the amount in account on 4th of  December \n|customer said he will maintain the amount in account on 4th of  December \n|customer said he will maintain the amount in account on 4th of  December \n"", ""last_3_Total_Outstanding"": ""46117|28220|26513"", ""last_3_ptp_date"": ""2025-11-30:2025-11-30:2025-11-30"", ""last_3_promised_date"": ""2025-12-05:2025-12-05:2025-12-05""}",Top Quartile: fulfillment 83.2% (20.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 25d vs 64d cohort) | call-only agent — no field visits | high volume (993 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11834,225,187,0.8311,1.72,0.9067,0.0,225,Top Quartile,"{""last_3_remarks"": ""ptp on 1st |ptp on 27th|ptp on 28th"", ""last_3_Total_Outstanding"": ""184237|42289|103710"", ""last_3_ptp_date"": ""2026-03-26:2026-03-26:2026-03-26"", ""last_3_promised_date"": ""2026-04-01:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 83.1% (20.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 2d vs 64d cohort) | call-only agent — no field visits | high volume (225 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8175,2025,1681,0.8301,29.5,0.9738,0.0,2025,Top Quartile,"{""last_3_remarks"": ""cm i will bi pay 24 april |cm i will b pay 23 april |cm i will bi pay 23 april "", ""last_3_Total_Outstanding"": ""25588|239855|38378"", ""last_3_ptp_date"": ""2026-04-23:2026-04-23:2026-04-23"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 83.0% (20.7pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 30d vs 64d cohort) | call-only agent — no field visits | high volume (2025 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10407,35,29,0.8286,73.66,0.9429,1.0,35,Top Quartile,"{""last_3_remarks"": ""Customer given PTP on 17th|Customer given PTP on 30th|Customer given PTP on 29th nov "", ""last_3_Total_Outstanding"": ""129073|77519|36673"", ""last_3_ptp_date"": ""2025-12-11:2025-12-10:2025-11-28"", ""last_3_promised_date"": ""2026-01-05:2026-01-05:2025-12-05""}",Top Quartile: fulfillment 82.9% (20.6pt above cohort avg 62.3%) | heavy field-visit usage (100%) | above Q75 threshold 81.8% — model for best-practice replication
4958,140,116,0.8286,11.45,0.9786,0.0,140,Top Quartile,"{""last_3_remarks"": ""cm will pay on 14th jan |cm will pay on 9th jan |cm will pay on 6th jan "", ""last_3_Total_Outstanding"": ""488010|54612|292432"", ""last_3_ptp_date"": ""2026-01-12:2026-01-09:2026-01-06"", ""last_3_promised_date"": ""2026-02-02:2026-02-01:2026-02-05""}",Top Quartile: fulfillment 82.9% (20.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 11d vs 64d cohort) | call-only agent — no field visits | high volume (140 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
9051,1207,1000,0.8285,32.22,0.9793,0.0,1207,Top Quartile,"{""last_3_remarks"": ""cm will pay 25 april sailry esu |cm will pay today |cm will pay today "", ""last_3_Total_Outstanding"": ""16019|30420|165626"", ""last_3_ptp_date"": ""2026-04-20:2026-04-20:2026-04-19"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 82.8% (20.5pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 32d vs 64d cohort) | call-only agent — no field visits | high volume (1207 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11825,260,215,0.8269,4.91,0.9538,0.0,260,Top Quartile,"{""last_3_remarks"": ""cm agreed to pay the emi amount today link shared|cm said to clear the emi tomorrow  |cm said he will pay only on Saturday 2 pm cm said NACH not happened "", ""last_3_Total_Outstanding"": ""156772|219863|274134"", ""last_3_ptp_date"": ""2026-04-07:2026-04-07:2026-04-07"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 82.7% (20.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 5d vs 64d cohort) | call-only agent — no field visits | high volume (260 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12340,369,305,0.8266,1.91,1.0,0.0,369,Top Quartile,"{""last_3_remarks"": ""06-CM SAID PTP ON 07//|06-CM SAID PTP ON 10//|06-CM SAID PTP ON 10//"", ""last_3_Total_Outstanding"": ""32439|39890|32303"", ""last_3_ptp_date"": ""2026-02-06:2026-02-06:2026-02-06"", ""last_3_promised_date"": ""2026-03-05:2026-03-05:2026-03-05""}",Top Quartile: fulfillment 82.7% (20.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 2d vs 64d cohort) | call-only agent — no field visits | high volume (369 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8831,1872,1547,0.8264,30.99,0.992,0.0,1872,Top Quartile,"{""last_3_remarks"": ""cm will pay today |cm will pay on 20 march |cm will pay on 17 march "", ""last_3_Total_Outstanding"": ""44378|0|1150"", ""last_3_ptp_date"": ""2026-03-16:2026-03-15:2026-03-15"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 82.6% (20.3pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 31d vs 64d cohort) | call-only agent — no field visits | high volume (1872 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
3487,477,394,0.826,5.74,0.9916,0.0,475,Top Quartile,"{""last_3_remarks"": ""cm promise to pay 28 April |cm promise topay 14 April |Cm Said He will Maintain Balance On 4th April"", ""last_3_Total_Outstanding"": ""296729|136491|189807"", ""last_3_ptp_date"": ""2026-04-16:2026-04-13:2026-04-03"", ""last_3_promised_date"": ""2026-05-01:2026-05-05:2026-04-05""}",Top Quartile: fulfillment 82.6% (20.3pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 6d vs 64d cohort) | call-only agent — no field visits | high volume (477 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
10543,653,539,0.8254,9.32,0.7228,0.0,653,Top Quartile,"{""last_3_remarks"": ""cm pay 04 feb evning |cm pay 04  fev evning |CM PAY 05 FEB EVNING "", ""last_3_Total_Outstanding"": ""48270|1192638|938637"", ""last_3_ptp_date"": ""2026-02-04:2026-02-04:2026-02-04"", ""last_3_promised_date"": ""2026-02-05:2026-03-02:2026-03-02""}",Top Quartile: fulfillment 82.5% (20.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 9d vs 64d cohort) | low re-promise rate 72% — tends to escalate rather than re-accept | call-only agent — no field visits | high volume (653 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
5402,166,137,0.8253,9.83,0.988,0.0,166,Top Quartile,"{""last_3_remarks"": ""cm said he will pay on 8 april cm father hospitalize thats why cm cant pay on time cm arranging the funds to his friends |Cm Said He will Maintain Balance On 4th April|cm said he will maintain the balance till 4 april salary person"", ""last_3_Total_Outstanding"": ""175293|150434|100141"", ""last_3_ptp_date"": ""2026-04-06:2026-04-01:2026-04-01"", ""last_3_promised_date"": ""2026-05-01:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 82.5% (20.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 10d vs 64d cohort) | call-only agent — no field visits | high volume (166 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
11137,200,165,0.825,12.83,0.905,0.0,200,Top Quartile,"{""last_3_remarks"": ""CM SAID HE'LL MAKE ON 5TH|SPOKE WITH CM SAID HE'LL MAKE HE ALREAFY KEPT|CM SAID HE'LL MAKE ON 5TH"", ""last_3_Total_Outstanding"": ""45522|35340|52099"", ""last_3_ptp_date"": ""2025-12-03:2025-12-03:2025-12-03"", ""last_3_promised_date"": ""2025-12-05:2025-12-05:2025-12-05""}",Top Quartile: fulfillment 82.5% (20.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 13d vs 64d cohort) | call-only agent — no field visits | high volume (200 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
3955,314,259,0.8248,8.68,0.9682,0.0,314,Top Quartile,"{""last_3_remarks"": ""customer said he will pay on 25 april due to salary on 24\n|CUSTOMER WILL PAY EMI IN 22  APRIL\t\n|CM SAID HE WILL PAY ON 25TH APRIL\n"", ""last_3_Total_Outstanding"": ""103369|528258|162382"", ""last_3_ptp_date"": ""2026-04-23:2026-04-22:2026-04-22"", ""last_3_promised_date"": ""2026-05-05:2026-05-05:2026-05-05""}",Top Quartile: fulfillment 82.5% (20.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 9d vs 64d cohort) | call-only agent — no field visits | high volume (314 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
